record_label,state,district,taluk,village,pincode,latitude,longitude,land_area_acres,land_type,soil_type,irrigation_type,water_availability_score,crop_type,crop_yield_per_acre,season,distance_to_road_km,distance_to_highway_km,distance_to_city_km,distance_to_market_km,nearby_projects,avg_land_price_per_acre,guideline_value,previous_compensation,acquisition_type,urgency_level,market_value,multiplier,solatium,final_compensation_amount
SYNTHETIC,Gujarat,Ahmedabad,Suryapet,Pathak Road,393394,20.796616,71.674888,46.84,residential,alluvial,borewell,7,wheat,16.19,perennial,20.94,56.35,72.54,15.03,smart_city,1730775.05,1563712.53,1738627.51,highway,critical,1730775.05,2.0,1730775.05,252657766.17
SYNTHETIC,Rajasthan,Jaipur,Coimbatore,Kari Nagar,336002,25.433565,72.80513,5.152,commercial,black,borewell,10,groundnut,12.73,rabi,7.58,3.59,61.35,27.09,none,775629.95,539093.86,762371.38,industrial,high,775629.95,2.0,775629.95,11753527.59
SYNTHETIC,Uttar Pradesh,Agra,Vijayawada,Chaudhuri Ganj,210635,28.516328,77.31622,20.242,commercial,laterite,borewell,7,soybean,11.84,rabi,25.1,55.83,82.38,9.08,none,402483.43,318859.18,428274.15,irrigation_project,low,402483.43,2.0,402483.43,24976498.86
SYNTHETIC,Gujarat,Bhavnagar,Alwar,Patla Chowk,377004,21.97212,69.635025,18.121,forest,loamy,canal,10,soybean,10.94,rabi,25.68,56.44,95.36,5.34,none,984523.54,650396.59,944553.75,railway,critical,984523.54,2.0,984523.54,57651029.79
SYNTHETIC,Punjab,Amritsar,Uluberia,Kadakia Path,142489,31.053224,75.47207,34.356,residential,black,drip,8,cotton,13.75,rabi,17.24,10.72,162.43,41.12,industrial_zone,1336026.73,1106256.41,,irrigation_project,low,1336026.73,2.0,1336026.73,146812380.38
SYNTHETIC,Tamil Nadu,Salem,Madurai,Garg,628945,11.824838,76.506111,16.289,residential,red,borewell,7,sugarcane,256.37,perennial,20.82,28.19,187.39,2.44,none,852994.53,675392.67,876373.5,smart_city,medium,852994.53,2.0,852994.53,45040497.69
SYNTHETIC,Maharashtra,Kolhapur,Ujjain,Raghavan Chowk,413440,20.018991,78.741243,12.293,agricultural,black,drip,6,groundnut,10.38,zaid,11.74,1.36,181.17,5.02,none,1450739.9,1353123.24,1527244.5,irrigation_project,low,1450739.9,2.0,1450739.9,54914179.4
SYNTHETIC,Uttar Pradesh,Agra,Proddatur,Nair Ganj,285588,28.765672,83.095159,39.586,forest,sandy,borewell,7,maize,29.93,rabi,13.3,71.07,70.83,6.29,none,869915.33,710178.28,,railway,low,869915.33,2.0,869915.33,104574772.29
SYNTHETIC,Tamil Nadu,Madurai,Berhampur,Mutti Nagar,619409,8.455553,76.564802,49.339,forest,black,drip,6,maize,29.75,perennial,10.57,56.8,96.85,19.21,industrial_zone,1023926.94,732710.23,923042.36,railway,critical,1023926.94,2.0,1023926.94,147717014.14
SYNTHETIC,Punjab,Patiala,Agartala,Kakar Zila,158647,29.864331,75.812552,37.429,forest,laterite,canal,9,paddy,16.66,kharif,6.79,77.08,3.42,48.51,none,3478449.86,2729523.56,2885438.95,railway,high,3478449.86,1.0,3478449.86,266556186.65
SYNTHETIC,Madhya Pradesh,Bhopal,Rajpur Sonarpur,Randhawa Chowk,463486,26.875822,79.5754,19.518,agricultural,alluvial,drip,7,vegetables,71.56,perennial,18.64,22.55,38.44,23.45,none,620816.37,389380.45,741555.41,industrial,high,620816.37,1.0,620816.37,24300044.93
SYNTHETIC,Maharashtra,Pune,Asansol,Dewan Road,406132,20.889668,78.283269,8.55,commercial,sandy,borewell,8,soybean,16.13,rabi,2.57,70.19,110.77,8.66,none,2264397.51,1739350.59,2152752.72,defence,high,2264397.51,2.0,2264397.51,56293498.74
SYNTHETIC,Maharashtra,Kolhapur,Kishanganj,Lall Circle,401633,15.839342,73.710973,1.177,waste,black,none,3,soybean,19.97,kharif,17.6,58.23,151.66,19.2,none,653445.85,449573.92,,smart_city,medium,653445.85,2.0,653445.85,2473003.84
SYNTHETIC,Maharashtra,Pune,Ballia,Pathak Marg,413419,17.346371,72.784133,25.159,commercial,alluvial,borewell,9,paddy,26.04,kharif,2.74,63.45,118.4,24.26,none,2155927.37,1776002.25,2503593.13,railway,medium,2155927.37,2.0,2155927.37,164375491.69
SYNTHETIC,Tamil Nadu,Madurai,Durgapur,Tak Circle,621331,11.065699,78.138915,45.568,residential,alluvial,canal,10,cotton,12.59,kharif,14.81,21.03,92.37,49.01,none,1077380.64,885273.22,,defence,high,1077380.64,2.0,1077380.64,147647302.15
SYNTHETIC,Madhya Pradesh,Gwalior,Nashik,Dua Zila,466031,24.817074,75.455041,17.611,commercial,alluvial,rainfed,7,wheat,19.83,zaid,1.32,13.93,56.44,9.26,none,229568.89,174764.5,,irrigation_project,high,229568.89,2.0,229568.89,12163667.74
SYNTHETIC,Madhya Pradesh,Indore,Bhusawal,Bhatt,456190,24.741822,74.654072,43.742,forest,black,borewell,9,paddy,16.69,zaid,5.62,17.14,74.72,24.48,highway,399218.11,304159.15,325232.33,defence,high,399218.11,2.0,399218.11,46408246.18
SYNTHETIC,Uttar Pradesh,Varanasi,Eluru,Sidhu,217673,26.137368,80.058162,5.691,forest,laterite,borewell,6,paddy,19.23,rabi,16.11,19.04,69.24,23.96,none,779861.84,598819.83,853737.36,smart_city,high,779861.84,2.0,779861.84,14702278.26
SYNTHETIC,Punjab,Ludhiana,Begusarai,Contractor Nagar,142739,31.502343,75.569413,18.127,forest,loamy,none,1,paddy,15.15,kharif,4.67,20.05,32.98,9.74,none,1100819.81,1006003.89,,defence,high,1100819.81,1.0,1100819.81,42684608.22
SYNTHETIC,West Bengal,Bardhaman,Mau,Memon Zila,739111,22.149826,87.73228,48.489,waste,loamy,canal,8,fallow,1.44,zaid,17.19,22.76,154.13,9.76,none,455868.8,354512.59,,industrial,low,455868.8,2.0,455868.8,67175026.9
SYNTHETIC,Rajasthan,Bikaner,Sangli-Miraj & Kupwad,Aggarwal Chowk,323744,25.658459,73.497558,27.656,residential,laterite,borewell,10,vegetables,104.79,kharif,4.25,0.72,24.22,23.92,highway,1032657.09,658158.56,1134260.03,railway,medium,1032657.09,1.0,1032657.09,54535676.24
SYNTHETIC,Karnataka,Hubballi-Dharwad,Orai,Tripathi Street,562635,14.1546,78.261667,36.219,waste,sandy,rainfed,3,soybean,12.02,rabi,24.77,15.32,47.9,31.87,railway,1620814.54,1306226.33,1589661.58,irrigation_project,medium,1620814.54,1.0,1620814.54,120652169.84
SYNTHETIC,Maharashtra,Pune,Bihar Sharif,Issac Circle,402192,21.447235,75.786297,27.406,commercial,alluvial,rainfed,5,vegetables,95.5,perennial,23.84,49.8,107.16,44.75,smart_city,944223.63,669551.55,,highway,medium,944223.63,2.0,944223.63,78779389.68
SYNTHETIC,Rajasthan,Jodhpur,Dindigul,Zacharia Street,314612,29.312713,72.510319,41.152,waste,sandy,drip,10,vegetables,51.99,zaid,12.33,61.86,3.43,30.12,highway,1143065.51,925494.74,1352966.54,railway,medium,1143065.51,1.0,1143065.51,88538627.46
SYNTHETIC,Punjab,Bathinda,Khora ,Suresh Path,150984,30.293648,76.050896,29.852,waste,laterite,drip,10,vegetables,41.84,zaid,4.66,46.31,121.74,21.49,industrial_zone,2156476.7,1992474.45,1822859.44,irrigation_project,medium,2156476.7,2.0,2156476.7,186556636.86
SYNTHETIC,Rajasthan,Jaipur,Gorakhpur,Mohanty Path,301854,25.242399,71.501081,30.591,agricultural,sandy,canal,7,cotton,15.88,rabi,10.07,32.15,107.94,46.03,none,341880.76,293376.58,304219.84,highway,high,341880.76,2.0,341880.76,29609898.12
SYNTHETIC,Rajasthan,Bikaner,Howrah,Brar Ganj,306320,28.619569,71.942767,11.395,residential,sandy,canal,6,cotton,12.59,perennial,12.5,7.29,199.38,25.36,highway,68408.22,59001.14,,defence,medium,68408.22,2.0,68408.22,2321108.63
SYNTHETIC,Maharashtra,Kolhapur,Shivpuri,Walia Zila,408477,21.037671,77.475865,15.055,commercial,red,borewell,9,paddy,23.02,rabi,22.98,8.69,67.54,4.24,smart_city,1631351.47,1491219.43,1827602.9,highway,high,1631351.47,2.0,1631351.47,72733875.35
SYNTHETIC,Uttar Pradesh,Varanasi,Warangal,Gandhi Chowk,277221,26.03919,81.384715,44.429,waste,red,rainfed,5,cotton,17.44,rabi,6.23,23.81,179.37,1.14,none,155234.43,94582.21,,smart_city,low,155234.43,2.0,155234.43,21750393.4
SYNTHETIC,Tamil Nadu,Coimbatore,Dehri,Sampath,606852,9.914177,77.315521,19.295,waste,laterite,none,1,groundnut,14.19,kharif,13.14,23.91,189.74,38.3,none,751697.01,579258.41,841857.13,industrial,low,751697.01,2.0,751697.01,42720907.03
SYNTHETIC,West Bengal,Howrah,Panvel,Muni Ganj,741304,22.995749,86.801682,41.829,waste,red,borewell,10,wheat,15.54,zaid,24.7,42.61,163.2,25.16,none,364003.42,281779.67,306720.74,industrial,low,364003.42,2.0,364003.42,45547639.92
SYNTHETIC,Madhya Pradesh,Gwalior,Dindigul,Varughese Chowk,488801,24.582998,79.320293,9.181,forest,black,borewell,10,wheat,14.16,zaid,5.61,7.68,154.43,3.88,smart_city,241684.27,222453.4,252357.5,industrial,medium,241684.27,2.0,241684.27,6614208.14
SYNTHETIC,Karnataka,Bengaluru Urban,Jamshedpur,Kar Ganj,577715,15.278899,74.745264,42.156,agricultural,loamy,rainfed,7,wheat,20.1,rabi,3.29,6.47,145.91,25.03,industrial_zone,1022234.48,701498.92,1144663.77,smart_city,high,1022234.48,2.0,1022234.48,132868407.98
SYNTHETIC,Telangana,Warangal,Sonipat,Karpe Nagar,512322,17.089846,80.714179,48.124,agricultural,red,canal,6,vegetables,100.67,zaid,24.22,52.87,138.76,42.54,none,868598.36,588408.77,1022882.05,industrial,high,868598.36,2.0,868598.36,130533234.2
SYNTHETIC,Karnataka,Bengaluru Urban,Chennai,Bhargava Zila,588007,18.297408,78.343626,23.974,waste,alluvial,borewell,8,maize,12.67,zaid,11.0,45.07,96.73,44.31,highway,1519651.85,1126928.08,1704427.52,smart_city,low,1519651.85,2.0,1519651.85,110027853.7
SYNTHETIC,Telangana,Hyderabad,Jabalpur,Narayanan Nagar,508684,18.325039,78.071614,1.708,residential,red,rainfed,7,wheat,24.21,zaid,2.19,1.25,11.48,4.88,none,1671047.44,1342293.96,,smart_city,low,1671047.44,1.0,1671047.44,5478244.99
SYNTHETIC,Maharashtra,Pune,Kottayam,Mallick Ganj,401165,17.530519,79.678421,35.92,forest,black,canal,10,fallow,0.22,kharif,20.42,17.85,190.04,39.42,none,673764.09,611569.88,664978.61,irrigation_project,medium,673764.09,2.0,673764.09,71875895.49
SYNTHETIC,Madhya Pradesh,Jabalpur,Kakinada,Deo Circle,485690,23.429165,80.702606,11.913,commercial,sandy,borewell,8,wheat,16.99,kharif,5.67,62.48,70.67,3.36,airport,748224.31,691892.97,650624.51,industrial,low,748224.31,2.0,748224.31,28640058.81
SYNTHETIC,West Bengal,Darjeeling,Latur,Ray Chowk,724876,22.798142,88.233108,29.851,forest,red,rainfed,3,vegetables,61.25,perennial,14.35,4.03,170.59,2.25,none,600512.14,514833.73,,smart_city,high,600512.14,2.0,600512.14,52242993.56
SYNTHETIC,Telangana,Nizamabad,Bareilly,Sankar Zila,505295,17.833091,77.372813,11.399,forest,laterite,none,1,paddy,16.23,kharif,14.47,47.6,165.11,17.72,industrial_zone,764492.25,530144.72,855444.21,defence,critical,764492.25,2.0,764492.25,27362923.96
SYNTHETIC,Madhya Pradesh,Ujjain,Bhusawal,Sibal Marg,472604,25.145334,79.441126,31.121,waste,sandy,rainfed,7,fallow,0.06,zaid,0.25,65.69,46.5,45.48,none,524985.55,454019.33,,railway,critical,524985.55,1.0,524985.55,33365102.61
SYNTHETIC,Maharashtra,Pune,Navi Mumbai,Rau Nagar,407009,19.721037,77.081879,39.102,commercial,loamy,borewell,6,wheat,16.44,perennial,5.47,60.42,157.97,9.1,smart_city,2022984.61,1331593.52,2191759.79,defence,medium,2022984.61,2.0,2022984.61,229056768.76
SYNTHETIC,Tamil Nadu,Salem,Moradabad,Handa Ganj,638954,8.728483,79.460532,1.717,commercial,black,rainfed,5,maize,20.03,rabi,14.11,75.57,21.34,42.78,highway,3150427.86,2219259.21,3494231.25,smart_city,medium,3150427.86,1.0,3150427.86,10796082.82
SYNTHETIC,Uttar Pradesh,Lucknow,Jorhat,Dey Chowk,270988,30.027865,80.2319,32.107,commercial,black,none,3,paddy,21.41,rabi,6.98,17.44,7.2,32.76,none,1298717.68,994328.73,1135352.25,defence,medium,1298717.68,1.0,1298717.68,84824950.8
SYNTHETIC,Tamil Nadu,Tiruchirappalli,South Dumdum,Shere Road,620959,9.647341,80.120895,48.392,waste,loamy,canal,6,cotton,12.3,rabi,6.84,13.29,130.65,16.63,highway,1121109.78,1058913.96,,irrigation_project,medium,1121109.78,2.0,1121109.78,166475250.77
SYNTHETIC,Tamil Nadu,Madurai,Aurangabad,Chaudhari Chowk,648920,12.816685,79.553359,2.461,commercial,black,canal,9,fallow,1.14,zaid,15.02,49.64,140.79,28.2,none,743244.63,580622.02,,smart_city,medium,743244.63,2.0,743244.63,5413518.84
SYNTHETIC,Telangana,Warangal,Panvel,Chander Nagar,517014,16.623522,80.188692,41.161,residential,laterite,canal,8,sugarcane,379.24,kharif,28.09,4.63,108.72,35.6,railway,1654088.11,1456597.98,1862387.5,defence,critical,1654088.11,2.0,1654088.11,203372065.62
SYNTHETIC,Rajasthan,Jodhpur,Rourkela,Sunder Marg,310894,27.633759,74.132343,36.714,commercial,red,drip,9,fallow,1.74,rabi,9.94,37.88,149.11,43.66,none,108165.31,71019.76,,highway,high,108165.31,2.0,108165.31,11132479.14
SYNTHETIC,Uttar Pradesh,Agra,Kakinada,Bhargava Marg,226236,26.561439,78.567553,42.102,agricultural,loamy,none,3,vegetables,74.04,perennial,22.09,61.53,101.46,27.39,highway,687158.26,419364.48,716345.64,railway,critical,687158.26,2.0,687158.26,91992995.56
SYNTHETIC,Telangana,Warangal,Nadiad,Ramakrishnan Nagar,501394,16.963804,78.652095,19.5,residential,sandy,canal,8,vegetables,72.42,rabi,5.47,19.38,194.31,9.46,railway,502002.04,344639.9,491019.29,railway,high,502002.04,2.0,502002.04,26086185.94
SYNTHETIC,Telangana,Hyderabad,Malda,Sampath Road,508219,16.858347,80.020989,16.597,waste,laterite,none,3,sugarcane,288.4,perennial,15.64,27.29,165.95,21.83,none,699681.95,592890.91,,smart_city,critical,699681.95,2.0,699681.95,35247556.95
SYNTHETIC,Madhya Pradesh,Gwalior,Bhatpara,Minhas Ganj,452734,24.950066,77.797047,42.286,waste,laterite,drip,8,cotton,10.7,rabi,3.78,18.87,11.29,32.18,none,361320.23,227991.06,,smart_city,low,361320.23,1.0,361320.23,33179041.59
SYNTHETIC,Tamil Nadu,Madurai,Howrah,Bhat,620125,13.330146,78.948216,43.462,commercial,red,drip,9,maize,12.54,kharif,4.39,75.22,146.85,8.54,none,1234229.37,807997.32,,industrial,high,1234229.37,2.0,1234229.37,167137033.63
SYNTHETIC,Tamil Nadu,Chennai,Howrah,Sood Nagar,616089,8.09809,77.249833,41.628,agricultural,laterite,rainfed,3,cotton,14.77,zaid,28.23,66.23,133.73,29.07,none,493884.07,400902.43,566275.36,defence,critical,493884.07,2.0,493884.07,60870337.05
SYNTHETIC,Tamil Nadu,Salem,Howrah,Buch Circle,639829,10.453765,80.075915,43.956,commercial,sandy,rainfed,3,vegetables,63.75,zaid,0.27,26.3,73.93,20.11,industrial_zone,1398588.29,1058791.15,,highway,high,1398588.29,2.0,1398588.29,179747495.86
SYNTHETIC,Telangana,Warangal,Coimbatore,Bir,507010,16.490622,79.955849,38.088,agricultural,alluvial,none,2,vegetables,81.53,rabi,27.44,65.19,22.67,7.88,highway,1244997.53,954718.16,1269605.77,defence,low,1244997.53,1.0,1244997.53,98892823.79
SYNTHETIC,Karnataka,Hubballi-Dharwad,Sambhal,Koshy Zila,584431,16.032323,78.130941,12.552,commercial,alluvial,drip,10,groundnut,9.56,rabi,14.63,20.91,57.69,15.71,smart_city,2412512.6,1710369.37,2621099.09,highway,low,2412512.6,2.0,2412512.6,95294331.76
SYNTHETIC,Rajasthan,Jodhpur,Udupi,Saini Zila,304445,24.304275,75.493837,9.481,forest,black,borewell,10,vegetables,117.03,perennial,2.7,65.35,75.33,26.56,none,141541.4,116530.3,146837.23,railway,low,141541.4,2.0,141541.4,4142469.15
SYNTHETIC,Punjab,Ludhiana,Bhilwara,Murthy Ganj,151316,30.436388,76.06907,42.633,residential,black,borewell,8,cotton,9.5,zaid,17.64,13.86,147.64,43.21,none,433363.29,263603.41,451927.54,defence,medium,433363.29,2.0,433363.29,58643373.28
SYNTHETIC,Madhya Pradesh,Ujjain,Bilaspur,Deep Marg,458632,23.981248,81.902284,7.254,forest,red,rainfed,4,groundnut,11.57,kharif,20.8,79.3,26.55,5.65,industrial_zone,681179.25,474070.95,,defence,medium,681179.25,1.0,681179.25,9595124.07
SYNTHETIC,Madhya Pradesh,Jabalpur,Berhampore,Bora Path,456704,25.924806,79.356821,3.962,forest,loamy,borewell,8,groundnut,9.85,rabi,10.06,53.72,198.83,33.26,highway,184661.98,140864.21,,smart_city,medium,184661.98,2.0,184661.98,2083528.21
SYNTHETIC,Rajasthan,Bikaner,Berhampore,Chaudhry,343374,24.446723,74.215284,5.285,agricultural,laterite,canal,9,vegetables,103.64,perennial,11.54,10.03,194.86,1.49,industrial_zone,270247.48,185195.15,226243.53,highway,low,270247.48,2.0,270247.48,4459013.39
SYNTHETIC,Telangana,Karimnagar,Siwan,Toor Ganj,513725,16.282361,78.045844,17.413,agricultural,sandy,borewell,8,fallow,1.11,zaid,24.78,22.74,188.54,43.73,none,611419.39,489811.49,584771.96,smart_city,high,611419.39,2.0,611419.39,30843888.09
SYNTHETIC,Maharashtra,Nagpur,Mira-Bhayandar,Biswas Path,418785,19.681675,78.196722,26.858,commercial,laterite,canal,10,sugarcane,234.7,rabi,6.79,76.61,115.04,46.67,highway,1921188.07,1363668.31,1643920.69,industrial,low,1921188.07,2.0,1921188.07,157018517.0
SYNTHETIC,Karnataka,Mysuru,Uluberia,Dugar Road,592964,11.680683,74.621765,48.174,waste,laterite,drip,10,cotton,12.4,perennial,25.56,0.53,4.52,30.33,none,2133567.67,1701636.24,,highway,medium,2133567.67,1.0,2133567.67,204376584.99
SYNTHETIC,Tamil Nadu,Salem,Tinsukia,Wadhwa Road,605078,9.339409,76.811672,6.509,commercial,laterite,canal,9,cotton,17.97,kharif,7.06,18.05,35.58,32.96,railway,2929970.94,2570266.53,3110545.98,industrial,medium,2929970.94,1.0,2929970.94,38867750.33
SYNTHETIC,Gujarat,Bhavnagar,Begusarai,Chawla Road,363716,20.051847,70.746616,24.327,forest,red,borewell,10,paddy,21.47,rabi,7.31,78.08,160.51,48.0,none,257542.34,203918.37,293016.95,irrigation_project,medium,257542.34,2.0,257542.34,16752773.18
SYNTHETIC,Rajasthan,Jodhpur,Bilaspur,Chhabra Zila,334719,28.308971,73.68896,19.106,waste,sandy,borewell,10,paddy,34.11,kharif,19.79,75.46,161.97,4.28,none,398007.89,274056.47,449769.96,industrial,critical,398007.89,2.0,398007.89,20039280.18
SYNTHETIC,Maharashtra,Pune,Darbhanga,Kade Road,413926,18.969652,73.846403,37.003,agricultural,sandy,none,4,fallow,1.49,kharif,2.26,6.16,3.41,47.85,industrial_zone,2590382.88,1823078.97,2874966.0,defence,critical,2590382.88,1.0,2590382.88,190771157.57
SYNTHETIC,Uttar Pradesh,Varanasi,Kurnool,Tiwari Road,248964,28.157998,82.885669,13.62,waste,black,canal,6,wheat,20.68,zaid,3.73,49.39,155.15,32.37,highway,168143.23,157881.63,154209.0,irrigation_project,critical,168143.23,2.0,168143.23,6889917.33
SYNTHETIC,Tamil Nadu,Madurai,Chandrapur,Chanda Nagar,619127,11.351777,76.60855,19.112,waste,red,canal,7,groundnut,10.19,perennial,3.73,16.2,177.5,32.47,none,946232.51,853009.21,1104793.27,railway,low,946232.51,2.0,946232.51,54981786.55
SYNTHETIC,Karnataka,Belagavi,Bally,Aggarwal Nagar,598789,16.772311,75.238924,27.208,forest,red,borewell,10,soybean,17.26,zaid,28.96,39.33,30.98,17.45,none,2805217.39,2413043.3,2363037.38,irrigation_project,high,2805217.39,1.0,2805217.39,160296045.53
SYNTHETIC,West Bengal,Howrah,Bikaner,Edwin Road,713727,26.208163,88.970163,44.132,waste,alluvial,borewell,7,fallow,1.11,perennial,24.47,49.39,137.89,19.08,highway,638781.65,572870.07,723785.72,industrial,medium,638781.65,2.0,638781.65,85439112.57
SYNTHETIC,Madhya Pradesh,Indore,Suryapet,Andra Marg,457544,25.034597,80.050117,42.178,commercial,sandy,borewell,9,cotton,15.22,perennial,6.59,11.46,132.95,0.59,none,104528.98,68822.9,,smart_city,low,104528.98,2.0,104528.98,12271150.17
SYNTHETIC,Uttar Pradesh,Prayagraj,Aurangabad,Banik Street,266643,27.500357,81.646855,33.985,residential,alluvial,drip,9,sugarcane,299.65,rabi,4.56,55.79,149.44,49.11,none,570847.94,446462.34,484621.76,highway,high,570847.94,2.0,570847.94,53366411.8
SYNTHETIC,Maharashtra,Nagpur,Ballia,Divan Circle,401651,16.006524,79.251345,38.446,agricultural,laterite,none,1,paddy,27.75,perennial,23.59,9.91,82.57,42.07,none,2144352.05,1727745.78,,irrigation_project,high,2144352.05,2.0,2144352.05,229878648.77
SYNTHETIC,Maharashtra,Kolhapur,Warangal,Morar Nagar,413920,21.64251,79.09543,3.279,commercial,loamy,borewell,8,soybean,18.42,kharif,14.48,35.1,187.53,35.45,industrial_zone,290044.96,265788.4,322554.71,smart_city,medium,290044.96,2.0,290044.96,2685623.93
SYNTHETIC,Madhya Pradesh,Jabalpur,Thane,Kade Path,484283,23.413249,81.380984,23.867,forest,loamy,drip,7,groundnut,10.09,zaid,8.34,63.08,194.99,18.87,none,211989.77,147088.82,,irrigation_project,critical,211989.77,2.0,211989.77,15977880.59
SYNTHETIC,Tamil Nadu,Chennai,Kota,Ray Path,629614,8.122211,79.054296,48.188,forest,red,borewell,9,vegetables,60.81,kharif,14.88,78.37,29.85,36.4,none,1392196.02,985736.82,1652456.58,irrigation_project,low,1392196.02,1.0,1392196.02,147815147.71
SYNTHETIC,Maharashtra,Nagpur,Patiala,Goel Street,407875,18.316935,73.337374,34.346,agricultural,black,none,1,wheat,17.25,zaid,2.12,56.77,109.16,4.55,none,1597533.7,1051210.87,1821172.68,defence,low,1597533.7,2.0,1597533.7,160916358.48
SYNTHETIC,Gujarat,Rajkot,Nagpur,Natarajan Street,398174,22.408762,73.322264,23.232,commercial,black,none,4,cotton,15.57,rabi,0.64,10.54,132.27,8.5,none,1127041.49,897196.92,1153180.17,railway,low,1127041.49,2.0,1127041.49,86444623.68
SYNTHETIC,West Bengal,Darjeeling,Kulti,Dutta Road,737264,23.766225,89.174039,18.911,agricultural,alluvial,borewell,8,sugarcane,288.21,zaid,6.19,42.1,58.14,39.75,highway,1249109.63,1098304.57,1456506.83,smart_city,medium,1249109.63,2.0,1249109.63,66546063.89
SYNTHETIC,Tamil Nadu,Madurai,Eluru,Singhal Nagar,640258,13.024244,76.926073,25.599,waste,black,none,4,soybean,14.4,rabi,29.04,68.62,24.41,37.12,none,3127946.45,2408129.79,,industrial,low,3127946.45,1.0,3127946.45,161087223.22
SYNTHETIC,Tamil Nadu,Tiruchirappalli,Kollam,Palla Chowk,631125,13.486782,79.021376,6.926,forest,black,rainfed,3,cotton,15.19,rabi,6.37,30.63,194.72,17.17,none,721471.04,460848.25,862321.11,highway,low,721471.04,2.0,721471.04,15198128.73
SYNTHETIC,West Bengal,Howrah,Ambattur,Bajwa Ganj,720587,23.444207,86.925542,35.745,residential,loamy,canal,10,sugarcane,228.39,kharif,22.22,15.71,123.14,22.06,highway,1014804.85,895228.93,914937.85,highway,critical,1014804.85,2.0,1014804.85,112806270.0
SYNTHETIC,Tamil Nadu,Coimbatore,Silchar,Mallick Path,629127,8.021376,79.131179,8.773,waste,laterite,canal,8,cotton,16.66,zaid,9.23,17.41,7.6,15.55,industrial_zone,4073455.62,3686157.85,4543446.6,highway,medium,4073455.62,1.0,4073455.62,67141276.22
